               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12625,            0.023397,                   0,              0.0005,                0.15,          0.00053818,           9.759e-05,             0.12633,             0.01743,                   0,              0.0982,              0.0002,              0.0002
                   1,             0.12206,             0.02503,                   0,          0.00033333,                 0.1,           0.0003271,          8.8067e-05,             0.12399,            0.017435,                   0,            0.095497,          0.00049725,          0.00049725
                   2,             0.12085,             0.02425,                   0,          0.00066667,                 0.2,          0.00070417,          0.00014471,             0.12067,            0.017533,                   0,            0.092791,           0.0007912,           0.0007912
                   3,              0.1169,            0.025367,                   0,            0.010112,                0.25,             0.11084,            0.021609,             0.11518,            0.017864,                   0,            0.090082,           0.0010819,           0.0010819
                   4,              0.1123,            0.025759,                   0,            0.019316,                0.25,             0.11294,            0.023083,             0.11056,            0.018106,                   0,            0.087369,           0.0013692,           0.0013692
                   5,             0.11066,            0.025208,                   0,            0.036444,                 0.2,            0.049894,            0.013492,             0.10248,            0.018707,                   0,            0.084653,           0.0016533,           0.0016533
                   6,            0.099406,            0.025499,                   0,            0.055663,                 0.3,            0.087972,            0.020352,            0.095356,            0.019186,                   0,            0.081934,            0.001934,            0.001934
                   7,            0.094653,            0.027537,                   0,            0.060266,                0.35,            0.062468,            0.014196,            0.093511,            0.019106,                   0,            0.079211,           0.0022115,           0.0022115
                   8,            0.085027,            0.023888,                   0,             0.05594,                0.45,             0.14039,            0.033964,            0.090199,            0.019205,                   0,            0.076486,           0.0024856,           0.0024856
                   9,             0.09923,            0.026995,                   0,              0.1008,                0.35,             0.14124,            0.018898,            0.092159,            0.018714,                   0,            0.073756,           0.0027564,           0.0027564
                  10,             0.10166,            0.023447,                   0,            0.090092,                0.25,             0.19975,            0.042474,             0.08975,            0.018846,                   0,            0.071024,            0.003024,            0.003024
                  11,            0.089968,            0.024899,                   0,              0.1034,                 0.4,             0.20176,            0.037544,            0.085903,             0.01897,                   0,            0.068288,           0.0032883,           0.0032883
                  12,            0.093016,            0.023331,                   0,           0.0016518,                0.35,            0.010693,           0.0027565,            0.089648,            0.018466,                   0,            0.065549,           0.0035492,           0.0035492
                  13,            0.096919,            0.027034,                   0,            0.024947,                0.15,            0.039708,            0.006614,            0.090545,            0.017811,                   0,            0.062807,           0.0038068,           0.0038068
                  14,            0.092231,            0.024557,                   0,            0.024947,                0.15,            0.039708,            0.006614,            0.090545,            0.017811,                   0,            0.060061,           0.0040612,           0.0040612
                  15,            0.089939,            0.025409,                   0,            0.088975,                0.45,             0.18037,            0.025017,            0.081541,             0.01817,                   0,            0.057312,           0.0043123,           0.0043123
                  16,             0.08444,            0.024911,                   0,           0.0026667,                 0.8,            0.012133,           0.0019865,             0.08478,            0.017249,                   0,             0.05456,             0.00456,             0.00456
                  17,            0.086122,            0.022308,                   0,           0.0026667,                 0.8,            0.012133,           0.0019865,             0.08478,            0.017249,                   0,            0.051804,           0.0048045,           0.0048045
