               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,             0.05111,            0.013598,                   0,             0.71727,             0.60156,             0.71712,             0.28671,            0.042377,           0.0095184,                   0,           0.0069475,           0.0069475,           0.0069475
                  39,             0.04752,            0.012155,                   0,             0.53084,             0.72165,             0.62634,             0.27827,            0.044339,           0.0092551,                   0,            0.006865,            0.006865,            0.006865
                  40,            0.050535,            0.012036,                   0,             0.55576,             0.68041,             0.66917,             0.30206,            0.039973,           0.0094571,                   0,           0.0067825,           0.0067825,           0.0067825
                  41,            0.048239,            0.012787,                   0,             0.60357,             0.71134,             0.72345,             0.34824,            0.039088,            0.009604,                   0,              0.0067,              0.0067,              0.0067
                  42,            0.043478,            0.012416,                   0,              0.6592,             0.68041,             0.73661,             0.37049,            0.039547,           0.0093946,                   0,           0.0066175,           0.0066175,           0.0066175
                  43,            0.044881,            0.011883,                   0,             0.69782,             0.60825,             0.69456,             0.32529,            0.043701,           0.0089965,                   0,            0.006535,            0.006535,            0.006535
                  44,            0.047159,             0.01256,                   0,             0.75967,             0.61856,             0.76361,             0.36357,             0.03772,           0.0092156,                   0,           0.0064525,           0.0064525,           0.0064525
                  45,            0.047924,            0.013803,                   0,             0.70796,             0.72165,             0.78811,             0.34387,            0.042153,           0.0088813,                   0,             0.00637,             0.00637,             0.00637
                  46,            0.046474,            0.011588,                   0,             0.63286,             0.72861,             0.72745,             0.35601,            0.037083,           0.0090747,                   0,           0.0062875,           0.0062875,           0.0062875
                  47,            0.046443,            0.011622,                   0,              0.7809,             0.70103,             0.80204,              0.3492,             0.04247,           0.0086581,                   0,            0.006205,            0.006205,            0.006205
                  48,            0.044301,             0.01141,                   0,             0.80151,             0.74935,             0.82982,             0.40719,            0.034653,           0.0087956,                   0,           0.0061225,           0.0061225,           0.0061225
                  49,            0.039991,            0.011365,                   0,             0.77747,             0.79381,             0.83892,             0.32877,            0.041744,           0.0084427,                   0,             0.00604,             0.00604,             0.00604
                  50,            0.042817,            0.010905,                   0,             0.78114,             0.81443,             0.88499,             0.48606,            0.034086,           0.0085987,                   0,           0.0059575,           0.0059575,           0.0059575
                  51,            0.041264,            0.012339,                   0,             0.82172,             0.76289,             0.88701,             0.38298,             0.04142,           0.0080066,                   0,            0.005875,            0.005875,            0.005875
                  52,            0.041932,            0.010234,                   0,             0.78216,             0.78351,             0.87106,             0.47166,             0.03226,           0.0082482,                   0,           0.0057925,           0.0057925,           0.0057925
                  53,            0.037859,            0.011668,                   0,             0.81205,             0.80179,             0.90097,              0.4924,            0.033548,           0.0078451,                   0,             0.00571,             0.00571,             0.00571
                  54,             0.04087,            0.011605,                   0,             0.82021,              0.7732,             0.87899,             0.50144,            0.033514,           0.0077181,                   0,           0.0056275,           0.0056275,           0.0056275
                  55,            0.038667,           0.0098783,                   0,             0.68259,             0.83505,             0.81751,             0.40105,            0.035919,           0.0075709,                   0,            0.005545,            0.005545,            0.005545
                  56,             0.03664,           0.0097824,                   0,             0.79823,             0.83505,             0.91215,             0.50079,            0.031982,            0.007449,                   0,           0.0054625,           0.0054625,           0.0054625
                  57,            0.038084,            0.010715,                   0,             0.78114,             0.84536,             0.87858,             0.39997,            0.035498,            0.007259,                   0,             0.00538,             0.00538,             0.00538
                  58,            0.040915,            0.010541,                   0,             0.86287,             0.84334,             0.92566,             0.49723,            0.032961,           0.0072274,                   0,           0.0052975,           0.0052975,           0.0052975
                  59,            0.036951,             0.01014,                   0,             0.78378,             0.89689,             0.90452,             0.47099,            0.036309,           0.0070252,                   0,            0.005215,            0.005215,            0.005215
                  60,            0.038874,            0.010595,                   0,             0.91676,             0.90722,             0.95401,             0.53737,            0.031766,           0.0070255,                   0,           0.0051325,           0.0051325,           0.0051325
                  61,             0.03726,           0.0099228,                   0,             0.85073,             0.86598,             0.94456,             0.52676,            0.036772,           0.0068473,                   0,             0.00505,             0.00505,             0.00505
                  62,            0.039104,           0.0091192,                   0,             0.74368,             0.90722,             0.90125,             0.44119,            0.033932,           0.0068632,                   0,           0.0049675,           0.0049675,           0.0049675
                  63,            0.036275,           0.0097797,                   0,             0.88178,             0.93814,             0.96143,             0.55594,            0.032839,           0.0068653,                   0,            0.004885,            0.004885,            0.004885
                  64,            0.038665,            0.010346,                   0,             0.88194,             0.92416,             0.95638,             0.49091,            0.036748,           0.0067529,                   0,           0.0048025,           0.0048025,           0.0048025
